Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
,,,,,,,,,,,Tesco Baby Cucumbers 200G,2.0,IN_STORE,1.0
,,,,,,,,,,,Deli Kitchen 4 Greek Style Flatbreads 320G,1.0,IN_STORE,1.35
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,1.0,IN_STORE,3.0
,,,,,,,,,,,Tesco Ripe Bananas 5 Pack,1.0,IN_STORE,0.69
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,2.0,IN_STORE,0.37
,,,,,,,,,,,Tesco Smoked Mackerel Flakes 120G,1.0,IN_STORE,2.0
,,,,,,,,,,,Happy Egg Co. Free Range Eggs 10 Mixed Weight,1.0,IN_STORE,2.2
,,,,,,,,,,,Tesco Carrots 1Kg,1.0,IN_STORE,0.4
,,,,,,,,,,,Nescafe Dolce Gusto Starbucks Espresso Roast 12 Ca...,1.0,IN_STORE,4.0
,,,,,,,,,,,Nescafe Dolce Gusto Cafe Au Lait Coffee Pods 16 Se...,1.0,IN_STORE,3.5
,,,,,,,,,,,The Big Prawn Co Big & Juicy Crayfish 120G,1.0,IN_STORE,3.9
,,,,,,,,,,,Tarbert Honey Salmon Slices 100G,1.0,IN_STORE,3.0
,,,,,,,,,,,Nescafe Dolce Gusto Americano Coffee 16 Pods 128G,2.0,IN_STORE,3.5
34,IN_STORE,,3720.0,,34.0,2021-08-14 12:05:25.408,34.0,,SOUTHWARK PFS,Petrol,UNLEADED,1.0,IN_STORE,1.33
86.83,IN_STORE,10.92,3189.0,,75.91,2021-08-04 18:14:52.972,75.91,,SOUTHWARK,SuperStore,Gu Inspirations Cookies & Cream Desserts 2X85g,1.0,IN_STORE,3.0
,,,,,,,,,,,Deli Kitchen 4 Greek Style Flatbreads 320G,2.0,IN_STORE,1.35
,,,,,,,,,,,Highland Spring Sparkling Mineral Water 1.5Lt,3.0,IN_STORE,0.85
,,,,,,,,,,,Sunpat Peanut Butter Smooth 400G,1.0,IN_STORE,2.5
,,,,,,,,,,,Tesco Asparagus Tips 100G,1.0,IN_STORE,1.8
,,,,,,,,,,,Sunpat Peanut Butter Crunchy 400G,1.0,IN_STORE,2.5
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,2.0,IN_STORE,3.0
,,,,,,,,,,,Fresh & Naked Just Wild Rocket 60G,1.0,IN_STORE,0.85
,,,,,,,,,,,Tesco Radish Pack 240G,1.0,IN_STORE,0.43
,,,,,,,,,,,Nescafe Azera Americano Instant Coffee 100G,1.0,IN_STORE,5.49
,,,,,,,,,,,Tesco British Chicken Thighs 1Kg,1.0,IN_STORE,2.0
,,,,,,,,,,,Method Anti-Bacterial Orange Yuzu 828Ml,1.0,IN_STORE,3.0
,,,,,,,,,,,Tesco Blueberries 150G,2.0,IN_STORE,2.0
,,,,,,,,,,,Tesco Family Salad 250G +33% Extra Free,1.0,IN_STORE,1.25
,,,,,,,,,,,Tesco Chewy Banana 300G,1.0,IN_STORE,3.3
,,,,,,,,,,,Tesco Portobello Flat Mushrooms 150G,1.0,IN_STORE,1.0
,,,,,,,,,,,Tesco Pork Ribs 700G,1.0,IN_STORE,4.2
,,,,,,,,,,,T.Ripe & Ready Twin Pack Avocados,1.0,IN_STORE,1.5
,,,,,,,,,,,Tesco Galia Melon Each Class 1,1.0,IN_STORE,1.8
,,,,,,,,,,,Buckwud Organic Maple Syrup 250G,1.0,IN_STORE,4.38
,,,,,,,,,,,Perfectly Imperfect Apples 800G,1.0,IN_STORE,0.64
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1.0,IN_STORE,1.6
,,,,,,,,,,,Tesco Red Cabbage Each,1.0,IN_STORE,0.45
,,,,,,,,,,,Tesco Flaked Almonds 100G,1.0,IN_STORE,1.5
,,,,,,,,,,,Lavazza A Modo Mio Passionale Coffee 16 Capsules,1.0,IN_STORE,4.4
,,,,,,,,,,,Tesco Carrots 1Kg,1.0,IN_STORE,0.4
,,,,,,,,,,,Tesco Meaty Strips Rich In Beef 200G,1.0,IN_STORE,0.8
,,,,,,,,,,,Suntrail Farms Ripen At Home Nectarine M/Mum4,1.0,IN_STORE,0.95
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1.0,IN_STORE,2.75
,,,,,,,,,,,Ecover Softener Apple Blossom & Almond 50W 1.5L,1.0,IN_STORE,4.0
,,,,,,,,,,,Hoads Farm Free Range Eggs Medium Box Of 6,1.0,IN_STORE,1.7
,,,,,,,,,,,Tesco Sweet & Crunchy Salad 250G,1.0,IN_STORE,0.79
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,2.0,IN_STORE,1.0
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1.0,IN_STORE,5.0
,,,,,,,,,,,Tesco 10 Tripe Sticks Dog Treats 60G,1.0,IN_STORE,1.0
,,,,,,,,,,,Tesco Mango 200G,1.0,IN_STORE,3.0
,,,,,,,,,,,Nivea For Men Aqua Cool Antiperspirant Deodorant 2...,1.0,IN_STORE,1.6
8.55,IN_STORE,,3189.0,,8.55,2021-07-25 16:54:33.286,8.55,,SOUTHWARK,SuperStore,Highland Spring Sparkling Mineral Water 1.5Lt,3.0,IN_STORE,0.85
,,,,,,,,,,,Tesco Non-Scratch Sponge Pan Cleaners 6 Pack,1.0,IN_STORE,1.0
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1.0,IN_STORE,5.0
21.05,IN_STORE,0.43,3189.0,,20.62,2021-07-18 15:48:50.393,20.62,,SOUTHWARK,SuperStore,Pedigree Puppy Tasty Bites Chicken 125G,1.0,IN_STORE,1.0
,,,,,,,,,,,Yamas Authentic Greek Feta Cheese 200G,1.0,IN_STORE,1.2
,,,,,,,,,,,Tesco Grated Parmigiano Reggiano 100G,1.0,IN_STORE,2.2
,,,,,,,,,,,Green Giant No Added Salt Sweet Corn 198G,1.0,IN_STORE,0.75
,,,,,,,,,,,Galbani Italian Burrata Cheese 150G,1.0,IN_STORE,2.5
,,,,,,,,,,,Cirio Smooth Passata 3X200g,1.0,IN_STORE,1.3
,,,,,,,,,,,Kingfisher Bamboo Shoots In Water 225G,1.0,IN_STORE,1.1
,,,,,,,,,,,Tesco Tie Top Compostable Caddy Liners 20 Pack 10L,1.0,IN_STORE,1.6
,,,,,,,,,,,Alberto Balsam Coconut & Lychee Shampoo 350Ml,1.0,IN_STORE,0.95
,,,,,,,,,,,Rocket Salad 100G,1.0,IN_STORE,1.25
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1.0,IN_STORE,1.5
,,,,,,,,,,,Tesco Pork Ribs 700G,1.0,IN_STORE,4.2
